"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Legislation_type","Geography","Geography_type","Number of stop and searches","Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported)","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)",""
"Number of stops and searches carried out (excluding vehicle only searches)","2006/07","Financial year","All","All","All","All - excluding BTP","Police Force Area","1,037,735","932,065","56,075,912","18.51","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","All","All","All","All - excluding BTP","Police Force Area","1,214,693","1,125,647","56,075,912","21.66","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2008/09","Financial year","All","All","All","All - excluding BTP","Police Force Area","1,495,379","1,409,802","56,075,912","26.67","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","All","All","All","All - excluding BTP","Police Force Area","1,345,334","1,284,197","56,075,912","23.99","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","All","All","Section 1","All - excluding BTP","Police Force Area","1,169,012","1,284,197","56,075,912","20.85","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","All","All","Section 44/47a","All - excluding BTP","Police Force Area","85,310","1,284,197","56,075,912","1.83","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2009/10","Financial year","All","All","Section 60","All - excluding BTP","Police Force Area","119,639","1,284,197","56,075,912","2.13","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","All","All","All","All - excluding BTP","Police Force Area","1,272,799","1,220,198","56,075,912","22.7","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","All","All","Section 1","All - excluding BTP","Police Force Area","1,220,248","1,220,198","56,075,912","21.76","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","All","All","Section 44/47a","All - excluding BTP","Police Force Area","8,929","1,220,198","56,075,912","0.17","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","All","All","Section 60","All - excluding BTP","Police Force Area","62,344","1,220,198","56,075,912","1.11","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","All","All","All","All - excluding BTP","Police Force Area","1,171,052","1,121,123","56,075,912","20.88","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","All","All","Section 1","All - excluding BTP","Police Force Area","1,136,117","1,121,123","56,075,912","20.26","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","All","All","Section 44/47a","All - excluding BTP","Police Force Area","0","1,121,123","56,075,912","-","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","All","All","Section 60","All - excluding BTP","Police Force Area","46,882","1,121,123","56,075,912","0.84","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","All","All","All","All - excluding BTP","Police Force Area","999,457","954,314","56,075,912","17.82","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","All","All","Section 1","All - excluding BTP","Police Force Area","1,004,757","954,314","56,075,912","17.92","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","All","All","Section 44/47a","All - excluding BTP","Police Force Area","0","954,314","56,075,912","-","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","All","All","Section 60","All - excluding BTP","Police Force Area","5,340","954,314","56,075,912","0.1","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","All","All - excluding BTP","Police Force Area","883,808","841,399","56,075,912","15.76","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Section 1","All - excluding BTP","Police Force Area","893,267","841,399","56,075,912","15.93","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Section 44/47a","All - excluding BTP","Police Force Area","0","841,399","56,075,912","-","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","All","All","Section 60","All - excluding BTP","Police Force Area","3,896","841,399","56,075,912","0.07","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","All","All","All","All - excluding BTP","Police Force Area","528,847","498,721","56,075,912","9.43","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","All","All","Section 1","All - excluding BTP","Police Force Area","534,614","498,721","56,075,912","9.53","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","All","All","Section 44/47a","All - excluding BTP","Police Force Area","0","498,721","56,075,912","-","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","All","All","Section 60","All - excluding BTP","Police Force Area","1,055","498,721","56,075,912","0.02","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","All","All","All","All - excluding BTP","Police Force Area","374,651","342,086","56,075,912","6.68","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","All","All","Section 1","All - excluding BTP","Police Force Area","380,940","342,086","56,075,912","6.79","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","All","All","Section 44/47a","All - excluding BTP","Police Force Area","0","342,086","56,075,912","-","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","All","All","Section 60","All - excluding BTP","Police Force Area","965","342,086","56,075,912","0.02","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","All","All","All","All - excluding BTP","Police Force Area","296,555","266,308","56,075,912","5.29","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","All","All","Section 1","All - excluding BTP","Police Force Area","298,600","266,308","56,075,912","5.32","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","All","All","Section 44/47a","All - excluding BTP","Police Force Area","0","266,308","56,075,912","-","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2016/17","Financial year","All","All","Section 60","All - excluding BTP","Police Force Area","628","266,308","56,075,912","0.01","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","All","All","All","All - excluding BTP","Police Force Area","274,594","243,589","56,075,912","4.9","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","All","All","Section 1","All - excluding BTP","Police Force Area","274,754","243,589","56,075,912","4.9","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","All","All","Section 44/47a","All - excluding BTP","Police Force Area","4","243,589","56,075,912","0","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2017/18","Financial year","All","All","Section 60","All - excluding BTP","Police Force Area","2,496","243,589","56,075,912","0.04","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","All","All","All","All - excluding BTP","Police Force Area","370801","316353","56075912","6.61","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","All","All","Section 1","All - excluding BTP","Police Force Area","357020","305196","56075912","6.37","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","All","All","Section 44/47a","All - excluding BTP","Police Force Area","0","305196","56,075,912","0","N/A",""
"Number of stops and searches carried out (excluding vehicle only searches)","2018/19","Financial year","All","All","Section 60","All - excluding BTP","Police Force Area","12,258","305196","56,075,912","N/A","N/A",""
